hour,de_node_1,de_node_2,de_node_3
274,0.14296,0.10279,0.06487
275,0.20373,0.14649,0.09244
276,0.21685,0.15592,0.09840
277,0.22998,0.16536,0.10435
278,0.24311,0.17480,0.11031
279,0.18706,0.13450,0.08488
280,0.13102,0.09421,0.05945
281,0.07497,0.05391,0.03402
282,0.05022,0.03611,0.02279
283,0.02547,0.01832,0.01156
284,0.00072,0.00052,0.00033
285,0.00049,0.00035,0.00022
286,0.00025,0.00018,0.00011
287,0.00001,0.00001,0.00001
288,0.00001,0.00001,0.00001
289,0.00001,0.00001,0.00000
290,0.00001,0.00001,0.00000
291,0.00000,0.00000,0.00000
292,0.00000,0.00000,0.00000
293,0.00000,0.00000,0.00000
294,0.00664,0.00477,0.00301
295,0.01328,0.00955,0.00602
296,0.01992,0.01432,0.00904
297,0.06846,0.04922,0.03106
298,0.11700,0.08412,0.05309
299,0.16554,0.11903,0.07511
300,0.16749,0.12043,0.07600
301,0.16945,0.12184,0.07689
302,0.17140,0.12324,0.07777
303,0.13015,0.09358,0.05906
304,0.08890,0.06392,0.04034
305,0.04765,0.03426,0.02162
306,0.03190,0.02293,0.01447
307,0.01614,0.01160,0.00732
308,0.00038,0.00027,0.00017
309,0.00026,0.00019,0.00012
310,0.00014,0.00010,0.00006
311,0.00001,0.00001,0.00001
312,0.00001,0.00001,0.00000
313,0.00001,0.00001,0.00000
314,0.00001,0.00000,0.00000
315,0.00000,0.00000,0.00000
316,0.00000,0.00000,0.00000
317,0.00000,0.00000,0.00000
318,0.00794,0.00571,0.00360
319,0.01589,0.01142,0.00721
320,0.02383,0.01713,0.01081
321,0.08195,0.05892,0.03718
322,0.14006,0.10071,0.06355
323,0.19818,0.14250,0.08992
324,0.21159,0.15214,0.09601
325,0.22501,0.16178,0.10209
326,0.23842,0.17143,0.10818
327,0.18378,0.13214,0.08339
328,0.12913,0.09285,0.05859
329,0.07449,0.05356,0.03380
330,0.04993,0.03590,0.02266
331,0.02537,0.01824,0.01151
332,0.00081,0.00058,0.00037
333,0.00054,0.00039,0.00025
334,0.00028,0.00020,0.00013
335,0.00001,0.00001,0.00000
336,0.00001,0.00001,0.00000
337,0.00001,0.00000,0.00000
338,0.00000,0.00000,0.00000
339,0.00000,0.00000,0.00000
340,0.00000,0.00000,0.00000
341,0.00000,0.00000,0.00000
342,0.01140,0.00820,0.00517
343,0.02281,0.01640,0.01035
344,0.03421,0.02460,0.01552
345,0.10322,0.07422,0.04684
346,0.17223,0.12384,0.07815
347,0.24124,0.17346,0.10946
348,0.24357,0.17513,0.11052
349,0.24590,0.17681,0.11158
350,0.24823,0.17849,0.11264
351,0.18870,0.13568,0.08562
352,0.12916,0.09287,0.05861
353,0.06963,0.05006,0.03159
354,0.04665,0.03354,0.02117
355,0.02368,0.01703,0.01074
356,0.00071,0.00051,0.00032
357,0.00047,0.00034,0.00021
358,0.00024,0.00017,0.00011
359,0.00001,0.00001,0.00000
360,0.00001,0.00000,0.00000
361,0.00001,0.00000,0.00000
362,0.00000,0.00000,0.00000
363,0.00000,0.00000,0.00000
364,0.00000,0.00000,0.00000
365,0.00000,0.00000,0.00000
366,0.01183,0.00851,0.00537
367,0.02367,0.01702,0.01074
368,0.03550,0.02553,0.01611
369,0.11021,0.07924,0.05001
370,0.18492,0.13296,0.08391
371,0.25963,0.18668,0.11781
372,0.26690,0.19191,0.12110
373,0.27416,0.19713,0.12440
374,0.28143,0.20235,0.12770
375,0.21506,0.15463,0.09758
376,0.14869,0.10691,0.06747
377,0.08233,0.05919,0.03735
378,0.05520,0.03969,0.02505
379,0.02807,0.02018,0.01274
380,0.00094,0.00068,0.00043
381,0.00063,0.00045,0.00029
382,0.00032,0.00023,0.00015
383,0.00001,0.00001,0.00001
384,0.00001,0.00001,0.00000
385,0.00001,0.00001,0.00000
386,0.00001,0.00000,0.00000
387,0.00000,0.00000,0.00000
388,0.00000,0.00000,0.00000
389,0.00000,0.00000,0.00000
390,0.00282,0.00203,0.00128
391,0.00564,0.00405,0.00256
392,0.00846,0.00608,0.00384
393,0.02241,0.01612,0.01017
394,0.03637,0.02615,0.01650
395,0.05032,0.03618,0.02283
396,0.04960,0.03567,0.02251
397,0.04888,0.03515,0.02218
398,0.04817,0.03463,0.02185
399,0.03643,0.02619,0.01653
400,0.02469,0.01775,0.01120
401,0.01296,0.00932,0.00588
402,0.00870,0.00626,0.00395
403,0.00445,0.00320,0.00202
404,0.00019,0.00014,0.00009
405,0.00013,0.00009,0.00006
406,0.00007,0.00005,0.00003
407,0.00001,0.00001,0.00000
408,0.00001,0.00001,0.00000
409,0.00001,0.00001,0.00000
410,0.00001,0.00000,0.00000
411,0.00000,0.00000,0.00000
412,0.00000,0.00000,0.00000
413,0.00000,0.00000,0.00000
414,0.00464,0.00333,0.00210
415,0.00927,0.00667,0.00421
416,0.01391,0.01000,0.00631
417,0.05096,0.03664,0.02312
418,0.08801,0.06328,0.03994
419,0.12507,0.08993,0.05675
420,0.13865,0.09969,0.06291
421,0.15224,0.10946,0.06908
422,0.16582,0.11923,0.07524
423,0.12891,0.09269,0.05849
424,0.09201,0.06615,0.04175
425,0.05510,0.03962,0.02500
426,0.03698,0.02659,0.01678
427,0.01887,0.01357,0.00856
428,0.00076,0.00055,0.00034
429,0.00051,0.00037,0.00023
430,0.00026,0.00018,0.00012
431,0.00001,0.00000,0.00000
432,0.00000,0.00000,0.00000
433,0.00000,0.00000,0.00000
434,0.00000,0.00000,0.00000
435,0.00000,0.00000,0.00000
436,0.00000,0.00000,0.00000
437,0.00000,0.00000,0.00000
438,0.00598,0.00430,0.00271
439,0.01196,0.00860,0.00543
440,0.01794,0.01290,0.00814
441,0.05303,0.03813,0.02406
442,0.08812,0.06336,0.03998
443,0.12321,0.08859,0.05591
444,0.12993,0.09342,0.05895
445,0.13665,0.09825,0.06200
446,0.14337,0.10309,0.06505
447,0.11056,0.07949,0.05017
448,0.07775,0.05590,0.03528
449,0.04494,0.03231,0.02039
450,0.03024,0.02174,0.01372
451,0.01554,0.01117,0.00705
452,0.00084,0.00060,0.00038
453,0.00056,0.00040,0.00026
454,0.00029,0.00021,0.00013
455,0.00001,0.00001,0.00000
456,0.00001,0.00001,0.00000
457,0.00001,0.00000,0.00000
458,0.00000,0.00000,0.00000
459,0.00000,0.00000,0.00000
460,0.00000,0.00000,0.00000
461,0.00000,0.00000,0.00000
462,0.00871,0.00626,0.00395
463,0.01741,0.01252,0.00790
464,0.02612,0.01878,0.01185
465,0.08033,0.05776,0.03645
466,0.13455,0.09674,0.06105
467,0.18876,0.13573,0.08565
468,0.20152,0.14490,0.09144
469,0.21427,0.15407,0.09722
470,0.22703,0.16324,0.10301
471,0.17551,0.12620,0.07964
472,0.12400,0.08916,0.05626
473,0.07249,0.05212,0.03289
474,0.04877,0.03507,0.02213
475,0.02505,0.01801,0.01137
476,0.00133,0.00096,0.00060
477,0.00089,0.00064,0.00040
478,0.00045,0.00032,0.00020
479,0.00000,0.00000,0.00000
480,0.00000,0.00000,0.00000
481,0.00000,0.00000,0.00000
482,0.00000,0.00000,0.00000
483,0.00000,0.00000,0.00000
484,0.00000,0.00000,0.00000
485,0.00000,0.00000,0.00000
486,0.00815,0.00586,0.00370
487,0.01629,0.01172,0.00739
488,0.02444,0.01757,0.01109
489,0.07893,0.05675,0.03581
490,0.13341,0.09592,0.06053
491,0.18789,0.13510,0.08526
492,0.19344,0.13909,0.08777
493,0.19899,0.14308,0.09029
494,0.20454,0.14707,0.09281
495,0.15644,0.11249,0.07099
496,0.10835,0.07791,0.04916
497,0.06025,0.04332,0.02734
498,0.04046,0.02909,0.01836
499,0.02067,0.01486,0.00938
500,0.00088,0.00063,0.00040
501,0.00059,0.00042,0.00027
502,0.00029,0.00021,0.00013
503,0.00000,0.00000,0.00000
504,0.00000,0.00000,0.00000
505,0.00000,0.00000,0.00000
506,0.00000,0.00000,0.00000
507,0.00000,0.00000,0.00000
508,0.00000,0.00000,0.00000
509,0.00000,0.00000,0.00000
510,0.01060,0.00762,0.00481
