hour,nl_node_1,nl_node_2,nl_node_3
389,0.13876,0.10609,0.08077
390,0.09544,0.07297,0.05555
391,0.06373,0.04873,0.03710
392,0.06373,0.04873,0.03710
393,0.07356,0.05624,0.04282
394,0.08498,0.06497,0.04947
395,0.08498,0.06497,0.04947
396,0.16615,0.12703,0.09672
397,0.27839,0.21284,0.16205
398,0.27839,0.21284,0.16205
399,0.31537,0.24111,0.18358
400,0.35398,0.27063,0.20605
401,0.35398,0.27063,0.20605
402,0.37156,0.28408,0.21628
403,0.38940,0.29772,0.22667
404,0.38940,0.29772,0.22667
405,0.38291,0.29275,0.22289
406,0.37645,0.28781,0.21913
407,0.37645,0.28781,0.21913
408,0.35971,0.27501,0.20939
409,0.34322,0.26241,0.19979
410,0.34322,0.26241,0.19979
411,0.30735,0.23498,0.17891
412,0.27295,0.20868,0.15888
413,0.27295,0.20868,0.15888
414,0.25774,0.19705,0.15003
415,0.24289,0.18570,0.14138
416,0.24289,0.18570,0.14138
417,0.25395,0.19416,0.14782
418,0.26523,0.20278,0.15439
419,0.26523,0.20278,0.15439
420,0.27878,0.21314,0.16228
421,0.29259,0.22370,0.17032
422,0.29259,0.22370,0.17032
423,0.36587,0.27972,0.21297
424,0.44403,0.33948,0.25847
425,0.44403,0.33948,0.25847
426,0.43808,0.33493,0.25500
427,0.43214,0.33039,0.25155
428,0.43214,0.33039,0.25155
429,0.40431,0.30911,0.23535
430,0.37698,0.28822,0.21944
431,0.37698,0.28822,0.21944
432,0.35215,0.26923,0.20498
433,0.32787,0.25067,0.19085
434,0.32787,0.25067,0.19085
435,0.27786,0.21244,0.16174
436,0.23118,0.17675,0.13457
437,0.23118,0.17675,0.13457
438,0.18325,0.14011,0.10667
439,0.14098,0.10778,0.08206
440,0.14098,0.10778,0.08206
441,0.11405,0.08720,0.06639
442,0.09086,0.06947,0.05289
443,0.09086,0.06947,0.05289
444,0.08412,0.06431,0.04897
445,0.07782,0.05950,0.04530
446,0.07782,0.05950,0.04530
447,0.09945,0.07603,0.05789
448,0.12535,0.09584,0.07297
449,0.12535,0.09584,0.07297
450,0.14525,0.11105,0.08455
451,0.16686,0.12757,0.09713
452,0.16686,0.12757,0.09713
453,0.16639,0.12721,0.09686
454,0.16592,0.12686,0.09658
455,0.16592,0.12686,0.09658
456,0.16363,0.12511,0.09525
457,0.16136,0.12337,0.09393
458,0.16136,0.12337,0.09393
459,0.17043,0.13030,0.09921
460,0.17976,0.13744,0.10464
461,0.17976,0.13744,0.10464
462,0.17904,0.13688,0.10422
463,0.17831,0.13633,0.10379
464,0.17831,0.13633,0.10379
465,0.17106,0.13078,0.09957
466,0.16396,0.12536,0.09544
467,0.16396,0.12536,0.09544
468,0.18051,0.13800,0.10507
469,0.19786,0.15127,0.11517
470,0.19786,0.15127,0.11517
471,0.25085,0.19179,0.14602
472,0.30908,0.23630,0.17991
473,0.30908,0.23630,0.17991
474,0.33544,0.25646,0.19526
475,0.36253,0.27717,0.21103
476,0.36253,0.27717,0.21103
477,0.35231,0.26936,0.20508
478,0.34219,0.26162,0.19918
479,0.34219,0.26162,0.19918
480,0.33468,0.25588,0.19482
481,0.32724,0.25019,0.19048
482,0.32724,0.25019,0.19048
483,0.29875,0.22841,0.17390
484,0.27124,0.20738,0.15789
485,0.27124,0.20738,0.15789
486,0.29129,0.22271,0.16956
487,0.31188,0.23845,0.18155
488,0.31188,0.23845,0.18155
489,0.29790,0.22776,0.17341
490,0.28417,0.21726,0.16541
491,0.28417,0.21726,0.16541
492,0.25548,0.19533,0.14872
493,0.22809,0.17438,0.13277
494,0.22809,0.17438,0.13277
495,0.21055,0.16097,0.12256
496,0.19366,0.14806,0.11273
497,0.19366,0.14806,0.11273
498,0.21768,0.16642,0.12671
499,0.24298,0.18577,0.14144
500,0.24298,0.18577,0.14144
501,0.23457,0.17934,0.13654
502,0.22629,0.17301,0.13172
503,0.22629,0.17301,0.13172
504,0.22052,0.16860,0.12836
505,0.21481,0.16423,0.12504
506,0.21481,0.16423,0.12504
507,0.22170,0.16950,0.12905
508,0.22868,0.17484,0.13311
509,0.22868,0.17484,0.13311
510,0.23421,0.17906,0.13633
511,0.23979,0.18333,0.13958
512,0.23979,0.18333,0.13958
513,0.24849,0.18998,0.14465
514,0.25732,0.19673,0.14978
515,0.25732,0.19673,0.14978
516,0.22416,0.17138,0.13048
517,0.19309,0.14763,0.11240
518,0.19309,0.14763,0.11240
519,0.20980,0.16040,0.12212
520,0.22716,0.17367,0.13223
521,0.22716,0.17367,0.13223
522,0.27470,0.21002,0.15990
523,0.32578,0.24908,0.18964
524,0.32578,0.24908,0.18964
525,0.32358,0.24739,0.18835
526,0.32138,0.24571,0.18707
527,0.32138,0.24571,0.18707
528,0.30102,0.23014,0.17522
529,0.28116,0.21496,0.16366
530,0.28116,0.21496,0.16366
531,0.27342,0.20904,0.15916
532,0.26578,0.20320,0.15471
533,0.26578,0.20320,0.15471
534,0.26329,0.20130,0.15326
535,0.26082,0.19941,0.15182
536,0.26082,0.19941,0.15182
537,0.25517,0.19509,0.14854
538,0.24958,0.19082,0.14528
539,0.24958,0.19082,0.14528
540,0.23025,0.17604,0.13403
541,0.21161,0.16179,0.12318
542,0.21161,0.16179,0.12318
543,0.22535,0.17229,0.13118
544,0.23948,0.18310,0.13940
545,0.23948,0.18310,0.13940
546,0.25157,0.19234,0.14644
547,0.26391,0.20177,0.15362
548,0.26391,0.20177,0.15362
549,0.25730,0.19672,0.14977
550,0.25076,0.19172,0.14597
551,0.25076,0.19172,0.14597
552,0.25549,0.19533,0.14872
553,0.26025,0.19897,0.15149
554,0.26025,0.19897,0.15149
555,0.23874,0.18253,0.13897
556,0.21804,0.16670,0.12692
557,0.21804,0.16670,0.12692
558,0.20261,0.15490,0.11794
559,0.18772,0.14352,0.10927
560,0.18772,0.14352,0.10927
561,0.16549,0.12652,0.09633
562,0.14476,0.11067,0.08426
563,0.14476,0.11067,0.08426
564,0.11541,0.08823,0.06718
565,0.09037,0.06909,0.05260
566,0.09037,0.06909,0.05260
567,0.08012,0.06126,0.04664
568,0.07096,0.05425,0.04131
569,0.07096,0.05425,0.04131
570,0.06918,0.05289,0.04027
571,0.06744,0.05156,0.03926
572,0.06744,0.05156,0.03926
573,0.06796,0.05196,0.03956
574,0.06848,0.05236,0.03986
575,0.06848,0.05236,0.03986
576,0.07353,0.05622,0.04280
577,0.07896,0.06037,0.04596
578,0.07896,0.06037,0.04596
579,0.08927,0.06825,0.05196
580,0.10066,0.07696,0.05859
581,0.10066,0.07696,0.05859
582,0.10360,0.07921,0.06030
583,0.10660,0.08150,0.06205
584,0.10660,0.08150,0.06205
585,0.13937,0.10655,0.08113
586,0.17751,0.13572,0.10333
587,0.17751,0.13572,0.10333
588,0.15039,0.11498,0.08754
589,0.12579,0.09617,0.07322
590,0.12579,0.09617,0.07322
591,0.12025,0.09193,0.07000
592,0.11487,0.08782,0.06687
593,0.11487,0.08782,0.06687
594,0.15352,0.11737,0.08936
595,0.19860,0.15184,0.11561
596,0.19860,0.15184,0.11561
597,0.18583,0.14207,0.10817
598,0.17348,0.13264,0.10098
599,0.17348,0.13264,0.10098
600,0.16702,0.12770,0.09722
601,0.16069,0.12286,0.09354
602,0.16069,0.12286,0.09354
603,0.17939,0.13715,0.10442
604,0.19914,0.15225,0.11592
605,0.19914,0.15225,0.11592
606,0.21165,0.16182,0.12320
607,0.22452,0.17166,0.13069
608,0.22452,0.17166,0.13069
609,0.19649,0.15023,0.11438
610,0.17029,0.13019,0.09912
611,0.17029,0.13019,0.09912
612,0.13271,0.10146,0.07725
613,0.10073,0.07701,0.05863
614,0.10073,0.07701,0.05863
615,0.09914,0.07580,0.05771
616,0.09757,0.07460,0.05680
617,0.09757,0.07460,0.05680
618,0.09876,0.07551,0.05749
619,0.09997,0.07643,0.05819
620,0.09997,0.07643,0.05819
621,0.06579,0.05030,0.03829
622,0.04561,0.03487,0.02655
623,0.04561,0.03487,0.02655
624,0.04214,0.03222,0.02453
625,0.04071,0.03113,0.02370
626,0.04071,0.03113,0.02370
627,0.04717,0.03606,0.02746
628,0.06415,0.04905,0.03734
629,0.06415,0.04905,0.03734
630,0.11994,0.09170,0.06981
631,0.20247,0.15480,0.11786
632,0.20247,0.15480,0.11786
633,0.32047,0.24501,0.18654
634,0.45666,0.34913,0.26582
635,0.45666,0.34913,0.26582
636,0.62119,0.47492,0.36159
637,0.78604,0.60096,0.45755
638,0.78604,0.60096,0.45755
639,0.87229,0.66690,0.50776
640,0.95302,0.72863,0.55475
641,0.95302,0.72863,0.55475
642,0.95871,0.73297,0.55806
643,0.96436,0.73729,0.56135
644,0.96436,0.73729,0.56135
645,0.91407,0.69885,0.53208
646,0.86111,0.65836,0.50125
647,0.86111,0.65836,0.50125
648,0.90176,0.68943,0.52491
649,0.94092,0.71938,0.54771
650,0.94092,0.71938,0.54771
651,0.91106,0.69655,0.53033
652,0.88030,0.67303,0.51242
653,0.88030,0.67303,0.51242
654,0.83029,0.63479,0.48331
655,0.77871,0.59535,0.45328
656,0.77871,0.59535,0.45328
657,0.79869,0.61064,0.46492
658,0.81849,0.62577,0.47644
659,0.81849,0.62577,0.47644
660,0.80984,0.61916,0.47140
661,0.80115,0.61251,0.46635
662,0.80115,0.61251,0.46635
663,0.81446,0.62269,0.47409
664,0.82767,0.63279,0.48178
665,0.82767,0.63279,0.48178
666,0.74407,0.56887,0.43312
667,0.65815,0.50318,0.38311
668,0.65815,0.50318,0.38311
669,0.57730,0.44137,0.33605
670,0.49728,0.38019,0.28947
671,0.49728,0.38019,0.28947
672,0.42384,0.32404,0.24671
673,0.35350,0.27026,0.20577
674,0.35350,0.27026,0.20577
675,0.29435,0.22504,0.17134
676,0.23941,0.18304,0.13936
677,0.23941,0.18304,0.13936
678,0.25845,0.19759,0.15044
679,0.27808,0.21261,0.16187
680,0.27808,0.21261,0.16187
681,0.27221,0.20811,0.15845
682,0.26638,0.20366,0.15506
683,0.26638,0.20366,0.15506
684,0.25467,0.19471,0.14824
685,0.24319,0.18593,0.14156
686,0.24319,0.18593,0.14156
687,0.36882,0.28198,0.21469
688,0.50954,0.38956,0.29660
689,0.50954,0.38956,0.29660
690,0.52283,0.39973,0.30434
691,0.53618,0.40993,0.31211
692,0.53618,0.40993,0.31211
693,0.47567,0.36367,0.27688
694,0.41665,0.31855,0.24253
695,0.41665,0.31855,0.24253
696,0.34619,0.26468,0.20152
697,0.28018,0.21421,0.16309
698,0.28018,0.21421,0.16309
699,0.23233,0.17762,0.13524
700,0.18849,0.14411,0.10972
701,0.18849,0.14411,0.10972
702,0.23040,0.17615,0.13412
703,0.27603,0.21103,0.16067
704,0.27603,0.21103,0.16067
705,0.25670,0.19626,0.14942
706,0.23796,0.18193,0.13852
707,0.23796,0.18193,0.13852
708,0.18425,0.14087,0.10725
709,0.13751,0.10513,0.08004
710,0.13751,0.10513,0.08004
711,0.11454,0.08757,0.06668
712,0.09433,0.07212,0.05491
713,0.09433,0.07212,0.05491
714,0.12805,0.09790,0.07454
715,0.16854,0.12886,0.09811
716,0.16854,0.12886,0.09811
717,0.21498,0.16436,0.12514
718,0.26663,0.20385,0.15520
719,0.26663,0.20385,0.15520
720,0.31459,0.24052,0.18312
721,0.36533,0.27931,0.21266
722,0.36533,0.27931,0.21266
723,0.44092,0.33710,0.25666
724,0.51971,0.39734,0.30252
725,0.51971,0.39734,0.30252
726,0.53458,0.40871,0.31117
727,0.54950,0.42011,0.31986
728,0.54950,0.42011,0.31986
729,0.54888,0.41964,0.31950
730,0.54827,0.41917,0.31914
731,0.54827,0.41917,0.31914
