hour,de_node_1,de_node_2,de_node_3
480,0.41612,0.37465,0.33060
481,0.39398,0.35472,0.31301
482,0.39398,0.35472,0.31301
483,0.38025,0.34235,0.30210
484,0.36656,0.33004,0.29123
485,0.36656,0.33004,0.29123
486,0.36438,0.32806,0.28949
487,0.36219,0.32610,0.28775
488,0.36219,0.32610,0.28775
489,0.37335,0.33615,0.29662
490,0.38456,0.34623,0.30552
491,0.38456,0.34623,0.30552
492,0.37726,0.33966,0.29972
493,0.36997,0.33310,0.29394
494,0.36997,0.33310,0.29394
495,0.35860,0.32286,0.28490
496,0.34727,0.31266,0.27590
497,0.34727,0.31266,0.27590
498,0.36263,0.32650,0.28810
499,0.37808,0.34040,0.30038
500,0.37808,0.34040,0.30038
501,0.37407,0.33679,0.29719
502,0.37006,0.33318,0.29400
503,0.37006,0.33318,0.29400
504,0.36056,0.32463,0.28646
505,0.35110,0.31611,0.27894
506,0.35110,0.31611,0.27894
507,0.35106,0.31607,0.27891
508,0.35101,0.31603,0.27887
509,0.35101,0.31603,0.27887
510,0.37281,0.33566,0.29619
511,0.39475,0.35541,0.31362
512,0.39475,0.35541,0.31362
513,0.40082,0.36088,0.31844
514,0.40690,0.36635,0.32327
515,0.40690,0.36635,0.32327
516,0.37552,0.33810,0.29835
517,0.34443,0.31011,0.27364
518,0.34443,0.31011,0.27364
519,0.35155,0.31652,0.27930
520,0.35870,0.32295,0.28498
521,0.35870,0.32295,0.28498
522,0.39456,0.35524,0.31347
523,0.43066,0.38775,0.34215
524,0.43066,0.38775,0.34215
525,0.42260,0.38049,0.33575
526,0.41454,0.37323,0.32934
527,0.41454,0.37323,0.32934
528,0.40539,0.36500,0.32208
529,0.39626,0.35677,0.31482
530,0.39626,0.35677,0.31482
531,0.39058,0.35165,0.31031
532,0.38490,0.34654,0.30579
533,0.38490,0.34654,0.30579
534,0.40278,0.36265,0.32000
535,0.42072,0.37879,0.33425
536,0.42072,0.37879,0.33425
537,0.44121,0.39724,0.35053
538,0.46169,0.41568,0.36680
539,0.46169,0.41568,0.36680
540,0.45232,0.40725,0.35936
541,0.44294,0.39880,0.35191
542,0.44294,0.39880,0.35191
543,0.46034,0.41446,0.36573
544,0.47769,0.43009,0.37952
545,0.47769,0.43009,0.37952
546,0.52495,0.47264,0.41707
547,0.57121,0.51429,0.45381
548,0.57121,0.51429,0.45381
549,0.58674,0.52827,0.46615
550,0.60207,0.54207,0.47833
551,0.60207,0.54207,0.47833
552,0.58211,0.52410,0.46247
553,0.56182,0.50583,0.44635
554,0.56182,0.50583,0.44635
555,0.58193,0.52394,0.46234
556,0.60173,0.54177,0.47806
557,0.60173,0.54177,0.47806
558,0.59811,0.53851,0.47519
559,0.59448,0.53524,0.47230
560,0.59448,0.53524,0.47230
561,0.58477,0.52650,0.46459
562,0.57499,0.51769,0.45682
563,0.57499,0.51769,0.45682
564,0.55687,0.50138,0.44243
565,0.53854,0.48488,0.42786
566,0.53854,0.48488,0.42786
567,0.53477,0.48148,0.42486
568,0.53099,0.47807,0.42186
569,0.53099,0.47807,0.42186
570,0.54510,0.49078,0.43307
571,0.55910,0.50338,0.44419
572,0.55910,0.50338,0.44419
573,0.53968,0.48590,0.42877
574,0.52006,0.46823,0.41318
575,0.52006,0.46823,0.41318
576,0.48647,0.43800,0.38649
577,0.45260,0.40750,0.35958
578,0.45260,0.40750,0.35958
579,0.45151,0.40651,0.35871
580,0.45041,0.40553,0.35784
581,0.45041,0.40553,0.35784
582,0.44553,0.40113,0.35396
583,0.44065,0.39673,0.35008
584,0.44065,0.39673,0.35008
585,0.42394,0.38169,0.33681
586,0.40724,0.36666,0.32354
587,0.40724,0.36666,0.32354
588,0.36439,0.32808,0.28950
589,0.32216,0.29006,0.25595
590,0.32216,0.29006,0.25595
591,0.31377,0.28250,0.24929
592,0.30542,0.27499,0.24265
593,0.30542,0.27499,0.24265
594,0.30094,0.27095,0.23909
595,0.29648,0.26693,0.23555
596,0.29648,0.26693,0.23555
597,0.25668,0.23111,0.20393
598,0.21846,0.19669,0.17356
599,0.21846,0.19669,0.17356
600,0.17010,0.15315,0.13514
601,0.12616,0.11358,0.10023
602,0.12616,0.11358,0.10023
603,0.11582,0.10428,0.09202
604,0.10584,0.09529,0.08409
605,0.10584,0.09529,0.08409
606,0.09457,0.08515,0.07513
607,0.08384,0.07549,0.06661
608,0.08384,0.07549,0.06661
609,0.05219,0.04699,0.04147
610,0.02772,0.02496,0.02202
611,0.02772,0.02496,0.02202
612,0.01327,0.01194,0.01054
613,0.00514,0.00463,0.00408
614,0.00514,0.00463,0.00408
615,0.00425,0.00382,0.00337
616,0.00000,0.00000,0.00000
617,0.01286,0.01158,0.01021
618,0.01532,0.01379,0.01217
