hour,nl_node_1,nl_node_2,nl_node_3
257,0.18241,0.14970,0.13367
258,0.20606,0.16912,0.15101
259,0.23072,0.18935,0.16908
260,0.23072,0.18935,0.16908
261,0.23912,0.19625,0.17523
262,0.24761,0.20322,0.18146
263,0.24761,0.20322,0.18146
264,0.20295,0.16656,0.14873
265,0.16154,0.13258,0.11838
266,0.16154,0.13258,0.11838
267,0.09994,0.08202,0.07324
268,0.05165,0.04239,0.03785
269,0.05165,0.04239,0.03785
270,0.06734,0.05527,0.04935
271,0.08496,0.06973,0.06226
272,0.08496,0.06973,0.06226
273,0.16288,0.13368,0.11937
274,0.25910,0.21265,0.18988
275,0.25910,0.21265,0.18988
276,0.31982,0.26248,0.23437
277,0.38371,0.31492,0.28120
278,0.38371,0.31492,0.28120
279,0.45148,0.37054,0.33086
280,0.52051,0.42719,0.38145
281,0.52051,0.42719,0.38145
282,0.62285,0.51118,0.45645
283,0.72219,0.59272,0.52925
284,0.72219,0.59272,0.52925
285,0.73991,0.60726,0.54223
286,0.75739,0.62160,0.55504
287,0.75739,0.62160,0.55504
288,0.78798,0.64671,0.57746
289,0.81762,0.67104,0.59918
290,0.81762,0.67104,0.59918
291,0.80377,0.65967,0.58903
292,0.78969,0.64811,0.57871
293,0.78969,0.64811,0.57871
294,0.79632,0.65356,0.58357
295,0.80290,0.65896,0.58840
296,0.80290,0.65896,0.58840
297,0.79270,0.65058,0.58092
298,0.78238,0.64211,0.57335
299,0.78238,0.64211,0.57335
300,0.75589,0.62038,0.55395
301,0.72879,0.59813,0.53409
302,0.72879,0.59813,0.53409
303,0.63161,0.51838,0.46287
304,0.53126,0.43601,0.38933
305,0.53126,0.43601,0.38933
306,0.50256,0.41246,0.36829
307,0.47393,0.38897,0.34732
308,0.47393,0.38897,0.34732
309,0.45284,0.37165,0.33186
310,0.43186,0.35443,0.31648
311,0.43186,0.35443,0.31648
312,0.37817,0.31037,0.27714
313,0.32601,0.26756,0.23891
314,0.32601,0.26756,0.23891
315,0.28041,0.23014,0.20549
316,0.23690,0.19443,0.17361
317,0.23690,0.19443,0.17361
318,0.21466,0.17618,0.15731
319,0.19319,0.15855,0.14158
320,0.19319,0.15855,0.14158
321,0.22189,0.18211,0.16261
322,0.25192,0.20675,0.18461
323,0.25192,0.20675,0.18461
324,0.24085,0.19767,0.17650
325,0.22995,0.18872,0.16851
326,0.22995,0.18872,0.16851
327,0.22011,0.18065,0.16131
328,0.21043,0.17271,0.15421
329,0.21043,0.17271,0.15421
330,0.21457,0.17610,0.15724
331,0.21874,0.17952,0.16030
332,0.21874,0.17952,0.16030
333,0.19434,0.15950,0.14242
334,0.17100,0.14034,0.12532
335,0.17100,0.14034,0.12532
336,0.15642,0.12838,0.11463
337,0.14236,0.11684,0.10432
338,0.14236,0.11684,0.10432
339,0.11827,0.09707,0.08668
340,0.09609,0.07886,0.07042
341,0.09609,0.07886,0.07042
342,0.09011,0.07395,0.06603
343,0.08429,0.06918,0.06177
344,0.08429,0.06918,0.06177
345,0.09124,0.07488,0.06687
346,0.09843,0.08079,0.07213
347,0.09843,0.08079,0.07213
348,0.09026,0.07408,0.06615
349,0.08241,0.06763,0.06039
350,0.08241,0.06763,0.06039
351,0.11604,0.09524,0.08504
352,0.15439,0.12671,0.11314
353,0.15439,0.12671,0.11314
354,0.17950,0.14732,0.13154
355,0.20599,0.16906,0.15095
356,0.20599,0.16906,0.15095
357,0.25260,0.20732,0.18512
358,0.30213,0.24797,0.22142
359,0.30213,0.24797,0.22142
360,0.34772,0.28538,0.25482
361,0.39476,0.32399,0.28930
362,0.39476,0.32399,0.28930
363,0.49696,0.40786,0.36419
364,0.60040,0.49276,0.44000
365,0.60040,0.49276,0.44000
366,0.71766,0.58899,0.52593
367,0.82626,0.67813,0.60551
368,0.82626,0.67813,0.60551
369,0.83948,0.68897,0.61520
370,0.85244,0.69961,0.62470
371,0.85244,0.69961,0.62470
372,0.85969,0.70556,0.63001
373,0.86685,0.71144,0.63526
374,0.86685,0.71144,0.63526
375,0.86370,0.70886,0.63295
376,0.86054,0.70626,0.63063
377,0.86054,0.70626,0.63063
378,0.84132,0.69048,0.61655
379,0.82153,0.67424,0.60205
380,0.82153,0.67424,0.60205
381,0.72442,0.59454,0.53088
382,0.62012,0.50894,0.45445
383,0.62012,0.50894,0.45445
384,0.48688,0.39959,0.35680
385,0.35629,0.29241,0.26110
386,0.35629,0.29241,0.26110
387,0.20241,0.16612,0.14834
388,0.08278,0.06794,0.06066
389,0.08278,0.06794,0.06066
390,0.13897,0.11406,0.10184
391,0.20638,0.16938,0.15124
392,0.20638,0.16938,0.15124
393,0.34803,0.28563,0.25505
394,0.50518,0.41461,0.37021
395,0.50518,0.41461,0.37021
396,0.54822,0.44993,0.40176
397,0.59118,0.48519,0.43324
398,0.59118,0.48519,0.43324
399,0.54929,0.45081,0.40254
400,0.50731,0.41636,0.37178
401,0.50731,0.41636,0.37178
402,0.50049,0.41076,0.36677
403,0.49366,0.40516,0.36178
404,0.49366,0.40516,0.36178
405,0.48542,0.39839,0.35574
406,0.47719,0.39164,0.34970
407,0.47719,0.39164,0.34970
408,0.43102,0.35375,0.31587
409,0.38556,0.31644,0.28256
410,0.38556,0.31644,0.28256
411,0.33050,0.27125,0.24220
412,0.27766,0.22788,0.20348
413,0.27766,0.22788,0.20348
414,0.25052,0.20561,0.18359
415,0.22429,0.18408,0.16437
416,0.22429,0.18408,0.16437
417,0.24510,0.20116,0.17962
418,0.26650,0.21872,0.19530
419,0.26650,0.21872,0.19530
420,0.34524,0.28334,0.25300
421,0.42853,0.35170,0.31404
422,0.42853,0.35170,0.31404
423,0.47644,0.39103,0.34916
424,0.52478,0.43070,0.38458
425,0.52478,0.43070,0.38458
426,0.44822,0.36786,0.32847
427,0.37327,0.30635,0.27354
428,0.37327,0.30635,0.27354
429,0.32546,0.26711,0.23851
430,0.27940,0.22931,0.20475
431,0.27940,0.22931,0.20475
432,0.24653,0.20233,0.18066
433,0.21501,0.17646,0.15757
434,0.21501,0.17646,0.15757
435,0.17114,0.14046,0.12542
436,0.13118,0.10766,0.09613
437,0.13118,0.10766,0.09613
438,0.08625,0.07079,0.06321
439,0.04995,0.04099,0.03660
440,0.04995,0.04099,0.03660
441,0.03838,0.03150,0.02812
442,0.02837,0.02329,0.02079
443,0.02837,0.02329,0.02079
444,0.03213,0.02637,0.02355
445,0.03614,0.02966,0.02648
446,0.03614,0.02966,0.02648
447,0.05857,0.04807,0.04292
448,0.08613,0.07069,0.06312
449,0.08613,0.07069,0.06312
